isfriend,title,id,farm,ispublic,isfamily,owner,secret,server
0,Back to the burrito bowl diet. Time to get HUGE!,22767115418,6,1,0,79422781@N04,23a46d61cf,5694
0,"Loving this easy peasy burrito bowl!! -  3 oz. organic lean ground beef + organic ranch seasoning + 1/4 cup brown rice + 1/4 cup black beans + 1/4 cup sweet corn + 1/2 cup chopped bell pepper + 1/4 cup salsa. .. Calories: 364kcal, Fat: 9g, Carbs: 38g, Fib",30919495615,6,1,0,144716211@N02,397ce68fc9,5728
0,Spicy Shrimp Burrito Bowls recipe with cilantro lime rice and a corn black bean… via [Mackenzie Kirk],30607138330,6,1,0,78726240@N08,37b472ed0f,5815
0,Burrito bowl Foodspotting at Chipotle Mexican Grill,30726054842,6,1,0,67262124@N00,2c8d866b3e,5660
0,#UberEATS #GoodEats Shaka Burrito. Moa Moa Chix Rice Bowl. #MarinatedChicken #Avocado #CornSalsa #AdobeBeans #ShakaBurritoSalsa #CilantroBrownRice. Perfect for a cool fall weekend day. Ordered from Central Park. Use UberEATS promo code eats-3fsvy for $15,30793048546,6,1,0,145379850@N05,3036fbe6f1,5825
0,"Wear a Costume from 3pm to 10pm for $3 Burrito, Bowls or Taco's at All Chipotle today Only all over this great Country #USA #Chicago #ThreeDollars",30687445915,6,1,0,92678838@N00,51af6bbbc4,5555
0,/ ami /,30046015293,6,1,0,20596166@N00,6e9c164dbe,5678
0,Crockpot Chicken Burrito Bowl - 21 Day Fix Recipes - Clean Eating Recipes Healthy Recipes - Dinner - Lunch weight loss - 21 Day Fix Meals - crockpot -Crockpot Chicken Burrito Bowl - 21 Day Fix Recipes - Clean Eating Recipes Healthy Recipes - Dinner - Lunc,30598237086,6,1,0,135032038@N07,584b77faa4,5586
0,"Any of our burritos can be bowls! 🙌 Check out our buffalo bowl! 🍃💚🍃 Organic smoked buffalo tempeh, avocado and organic 'blue cheese' dressing on a bed of organic spinach, organic shredded purple and green cabbage, or",30300046160,6,1,0,117498364@N07,832e528754,5637
0,Chicken Burrito Bowl from Feed Your Soul Too http://lebouffe.com http://ift.tt/1Y1GQXx,30506519351,6,1,0,135032038@N07,92d9a89cdd,5789
0,"Last day for this weeks special, the gluten free BUFFALO BURGER!🌶🍔 full menu including BUFFALO BURRITO and BUFFALO BOWL🍃 (gf)!!  LUNCH 12-2PM 2324 E Cesar Chavez  ⚓️512.619.7989🐙 #veganyacht  #buffaloburger  #buf",29881491643,6,1,0,117498364@N07,83270b5fca,5447
0,Gluten free BUFFALO BURGER🌶🍔 & BUFFALO BURRITO🌶...you can also get the burrito as a bowl! Take away the tortilla and add organic spinach!! 🙌🍃 LUNCH 12-2PM 2324 E Cesar Chavez  🌶512.619.7989 #v,30452487766,6,1,0,117498364@N07,ac4e3b5d6f,5806
0,Super delicious and filling Quinoa Burrito Bowl with AvocadoLime Dressing http://lebouffe.com http://ift.tt/1Y1GQXx,30264924112,6,1,0,135032038@N07,96749c982e,5508
0,My #vegan burrito bowl on the bus. #vegantami #veganlife,30175734782,6,1,0,9718139@N07,75b34f462a,5534
0,"Thanks to @flicca92 for this incredible dinner! She spent a fair bit of time to make avocado salsa, tomato salsa, yummy Mexican beef for our burrito bowls 😃💪 guess she's a keeper hehe",29481736924,8,1,0,133013848@N02,4a83c86bb3,7510
0,"A very greedy burrito bowl for me: mixed bean chilli style sauce, spinach, quinoa, avocado, feta & crispy onions. All that's missing is a beer, but it is a school night. #burritobowl #monday #lblogger #foodblogger #balanced",29468035844,6,1,0,94413817@N08,9f4bfcf25a,5298
